SearchTerm,Link1,AdaptationOf,Link2
Of Unknown Origin [1983 film],/work/3086270,Fire Of Unknown Origin,/work/6537467
Beyond the Ice Limit,/work/17050596,,
Eddie Macon's Run [1983 film],/work/18424846,Eddie Macon's Run,/work/429132
Blade Runner [Director's Cut],/work/682397,Do Androids Dream of Electric Sheep?,/work/881
First Blood [1982 film],/work/3385364,First Blood,/work/396898
Sophie's Choice [1982 film],/work/10652423,Sophie's Choice,/work/7326
The Entity [1982 film],/work/13590299,The Entity [1982 film],/work/13590299
The Beastmaster [1982 film],/work/3038018,The Beastmaster [1982 film],/work/3038018
The Year of Living Dangerously [1982 film],/work/934683,The Year of Living Dangerously,/work/63766
The Secret of NIMH [1982 film],/work/641512,Mrs. Frisby and the Rats of NIMH,/work/38389
Firefox [1982 film],/work/8452079,Firefox,/work/18689
The Verdict [1982 film],/work/7927890,The Brass Verdict,/work/5144215
The World According to Garp [film],/work/6547361,The World According to Garp,/work/5178
The Last Unicorn [1982 film],/work/4626636,The Last Unicorn,/work/20998998
Evil Under the Sun [1982 film],/work/11277589,Evil Under the Sun,/work/30059
Final Option,/work/23807110,,
White Dog [1982 film],/work/15263418,White Dog,/work/426731
Honkytonk Man [1982 film],/work/12998150,Honkytonk Man [1982 film],/work/12998150
Cannery Row,/work/3648378,,
Jekyll And Hyde Together Again [film],/work/18425095,,
A Stranger Is Watching [1982 film],/work/16123563,A Stranger Is Watching,/work/70741
Wrong is Right [1982 film],/work/19963650,"Red, White & Liberal: How Left Is Right & Right Is Wrong",/work/98813
If You Could See What I Hear,/work/137646,,
"Yes, Giorgio [1982 film]",/work/18426799,"Yes, Giorgio",/work/16877095
The Howling [1981 film],/work/8480544,The Howling,/work/365004
For Your Eyes Only [1981 film],/work/2211227,For Your Eyes Only,/work/43286
Thief [1981 film],/work/1537608,The Book Thief,/work/393681
The Fox and the Hound [1981 film],/work/799406,The Fox and the Hound,/work/2573519
Private Lessons [1981 Film],/work/24190929,Private Lessons,/work/1562126
The Postman Always Rings Twice [1981 film],/work/7722349,The Postman Always Rings Twice,/work/12504
Quest for Fire [1981 film],/work/1036793,Quest for Fire,/work/214526
Taps [1981 film],/work/9214710,Taps [1981 film],/work/9214710
Gallipoli [1981 film],/work/934685,Gallipoli,/work/101173
Wolfen [1981 film],/work/16843067,The Wolfen,/work/60695
The Hand [1981 film],/work/22312059,The Left Hand of Darkness,/work/23117
Cutter's Way [1981 film],/work/12286134,Cutter's Way [1981 film],/work/12286134
Neighbors [1981 Film],/work/18085666,Neighbors [2014 film],/work/16902059
True Confessions [1981 film],/work/15110043,True Confessions,/work/257339
Sphinx,/work/90655,,
The Pursuit of D.B. Cooper / Robert Duvall (Adventure),/work/24873280,,
The Amateur [1981 film],/work/26329788,The Amateur Marriage,/work/2554470
The Shining [1980 film],/work/2986124,The Shining,/work/6050
The Blue Lagoon [1980 film],/work/10577286,The Blue Lagoon,/work/885007
Ordinary People [1980 film],/work/2138245,Ordinary People,/work/5867
Somewhere in Time [1980 film],/work/1811968,Somewhere in Time [1980 film],/work/1811968
Cruising [1980 film],/work/2661011,Cruising [1980 film],/work/2661011
The Hunter [1980 film],/work/18387110,The Heart is a Lonely Hunter,/work/18244
The Stunt Man [1980 film],/work/1593462,The Stunt Man,/work/433884
Cattle Annie and Little Britches,/work/12521801,,
The Island [1980 Film],/work/19018266,The Island,/work/1131906
When Time Ran Out [1980 film],/work/24444777,When Time Ran Out [1980 film],/work/24444777
The Formula [1980 film],/work/16526186,The Final Formula,/work/14784289
The Black Marble [1980 film],/work/15124450,The Black Marble,/work/303025
Rough Cut,/work/748566,,
Apocalypse Now [1979 film],/work/10762830,Apocalypse Now [1979 film],/work/10762830
The Warriors [1979 film],/work/5719804,The Warriors,/work/1362699
Moonraker [1979 film],/work/2211220,Moonraker,/work/62213
Kramer vs. Kramer [1979 film],/work/2374090,Kramer vs. Kramer [1979 film],/work/2374090
Escape from Alcatraz [1979 film],/work/12234492,Escape from Alcatraz,/work/1817318
Tess [1979 film],/work/11905031,Tess of the d'Urbervilles,/work/7189
The Black Stallion [1979 film],/work/6744633,The Black Stallion,/work/4915
Airport Terminal Pack,/work/3765930,,
Prophecy,/work/10740649,,
Bloodline [1979 film],/work/11681143,Bloodline,/work/10187
Winter Kills [1979 film],/work/18930453,Winter Kills,/work/17833941
The Human Factor [1979 film],/work/18721229,The Human Factor,/work/92653
The Prisoner of Zenda [1979 film],/work/8112400,The Prisoner of Zenda,/work/2970534
Invasion of the Body Snatchers [1978 film],/work/8921992,Invasion of the Body Snatchers [1956 film],/work/4607155
Death on the Nile [1978 film],/work/3446758,Death on the Nile,/work/29995
The Lord of the Rings: Original 1978 Motion Picture Soundtrack,/work/8793824,The Lord of the Rings,/work/1386651
The Wiz [1978 film],/work/9230157,The Wizard of Oz,/work/20410
The Great Train Robbery,/work/4809,,
Straight Time [1978 film],/work/15930328,Straight Time [1978 film],/work/15930328
The Buddy Holly Story [1978 film],/work/15774456,The Buddy Holly Story [1978 film],/work/15774456
The Brink's Job [1978 film],/work/25267351,The Brink's Job [1978 film],/work/25267351
The Big Fix,/work/558221,,
Caravans,/work/151679,,
The Spy Who Loved Me [1977 film],/work/2211213,The Spy Who Loved Me,/work/38539
A Bridge Too Far [1977 film],/work/2208634,A Bridge Too Far,/work/11744
The Deep [1977 film],/work/16736346,The Deep,/work/22341293
The Rescuers [1977 film],/work/8098666,The Rescuers,/work/308736
Sorcerer [1977 film],/work/11713224,The Wages of Fear,/work/1002505
Julia [1977 film],/work/807730,Julia,/work/2308923
Cross of Iron [1977 film],/work/12286130,Cross of Iron [1977 film],/work/12286130
Carrie [1976 film],/work/858952,Carrie,/work/12444
Marathon Man [1976 film],/work/5688999,Marathon Man,/work/299323
