Link,Title,Release_Date,ViewRating,Runtime,Genres,Description
/title/tt0071716/,Kdo hledá zlaté dno,(1974), ,98 min,Drama,
/title/tt0377081/,Krankensaal 6,(1974), ,105 min,Drama,
/title/tt0172616/,Ivan Kondarev,(1974), ,169 min,Drama,"The film shows Bulgaria after the First World War - different destinies, different turns on both sides of the political barricade. A life full of contradictions and passion."
/title/tt0327140/,Selkor,(1974), ,88 min,,
/title/tt0176782/,Goroda i gody,(1974), ,133 min,"Drama, War",
/title/tt0361501/,Devadasu,(1974), , ,Drama,
/title/tt0204677/,"Theater of Life: Youth, Lust and Spirit",(1974), ,167 min,Drama,
/title/tt0263100/,Bangaru Kalalu,(1974), , ,Drama,
/title/tt0071421/,Dik Trom knapt het op,(1974), ,88 min,Family,
/title/tt0071673/,Istoki,(1974), ,145 min,"Drama, History",
/title/tt0170721/,Trudna lyubov,(1974), ,85 min,Drama,
/title/tt0128817/,Eternal Times,(1974), ,107 min,Drama,
/title/tt0072450/,Zum Beispiel Josef,(1974), ,93 min,Drama,
/title/tt0070230/,Ispolnenie zhelaniy,(1974), ,100 min,Drama,
/title/tt0280111/,Sokaklardan bir kiz,(1974), , ,Drama,
/title/tt0276096/,Dzagli,(1974), ,55 min,"Family, Drama",
/title/tt4818864/,Tovarishch general,(1974), ,85 min,"Drama, War",
/title/tt0070892/,Vozvrata net,(1974), ,99 min,"Drama, Romance",
/title/tt0201624/,O Forte,(1974), ,90 min,Drama,An engineer returns to his hometown to demolish an old fort. In the return he is confronted with his past and his love of youth.
/title/tt0071979/,Pavlínka,(1974), ,90 min,Romance,
/title/tt0070047/,The Exorcist,(1973),R,122 min,Horror,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her."
/title/tt0070917/,The Wicker Man,(1973),R,88 min,"Horror, Mystery, Thriller",A puritan Police Sergeant arrives in a Scottish island village in search of a missing girl whom the locals claim never existed.
/title/tt0070328/,Live and Let Die,(1973),PG,121 min,"Action, Adventure, Thriller",James Bond is sent to stop a diabolically brilliant heroin magnate armed with a complex organisation and a reliable psychic tarot card reader.
/title/tt0070723/,Soylent Green,(1973),PG,97 min,"Crime, Mystery, Sci-Fi",A nightmarish futuristic fantasy about the controlling power of big corporations and an innocent cop who stumbles on the truth.
/title/tt0070355/,Magnum Force,(1973),R,124 min,"Action, Crime, Mystery","San Francisco Inspector ""Dirty"" Harry Callahan is on the trail of vigilante Police Officers who are not above going beyond the law to kill the city's undesirables."
/title/tt0070826/,Le train,(1973),PG,95 min,"Drama, Romance, War","Two people, a Frenchman Julien Maroyeur and a Jewish German woman (Anna Kupfer) met on a train while escaping the German army entering France."
