link,published,author,series,rating,charnum,awardnum
/work/4451,(2003),by Dean Koontz,1,(3.99),11,1
/work/5773,,by Irvine Welsh,0,(3.54),6,1
/work/1491561,(2006),by Rick Riordan,1,(4.09),63,7
/work/8300098,,by Stephenie Meyer,1,(3.91),10,7
/work/83379,(2001),by Mario Puzo,0,(3.34),5,1
/work/16653791,,"by Taylor Hackford (Director), John J. McLaughlin (Screenwriter)",0,(4),1,1
/work/393681,(2005),by Markus Zusak,0,(4.36),12,41
/work/9798423,(2010),by Nicholas Sparks,0,(3.92),6,1
/work/5042460,,by Tim Tharp,0,(3.52),4,4
/work/25779,(2004),by Joseph Finder,0,(3.67),3,3
/work/3533838,(1964),"by Arkady Strugatsky, Boris Strugatsky",1,(3.76),28,5
/work/7789012,,by Jean Hanff Korelitz,0,(3.61),5,1
/work/23158,(2004),by Meg Rosoff,0,(3.77),7,16
/work/15002267,,by Jason Reitman,0,(3.5),1,1
/work/189051,(1986),by Noah Gordon,1,(4.17),1,3
/work/128319,(1978),by Elmore Leonard,0,(3.75),2,1
/work/16694812,,by Jean-Pierre Jeunet,0,(3.5),1,1
/work/187777,(1986),"by Robert Asprin (Editor), Lynn Abbey (Editor), Lynn Abbey (Editor), Lynn Abbey (Editor), Lynn Abbey (Editor)",1,(3.69),1,1
/work/25056928,,by Michael Sheen,0,,1,1
/work/189651,(1999),by Maxx Barry,0,(3.79),4,1
/work/293373,(1963),by Thomas B. Costain,0,(4.2),1,1
/work/3360,(1930),by William Faulkner,0,(3.89),17,16
/work/21738297,,by Mathias Malzieu,0,(3.5),1,1
/work/15043181,,by Lucía Puenzo,0,(3.71),1,1
/work/2168511,,by Tracy Leininger Craven,0,(4),1,1
/work/5418693,,by Langston Hughes,0,(4),1,1
/work/81137,(1898),by Knut Hamsun,0,(3.81),2,1
/work/4979986,,by Suzanne Collins,1,(4.32),30,73
/work/3654,(2004),by David Mitchell,0,(4.1),12,25
/work/3206242,(1937),by J. R. R. Tolkien,1,(4.27),39,30
/work/13642818,,"by Bill Condon (Director), Melissa Rosenberg (Screenwriter)",1,(3.75),1,1
/work/19485,(1862),"by Victor Hugo, Victor Hugo, Victor Hugo",0,(4.27),27,25
/work/10482,,by Stephen Chbosky,0,(4.01),10,8
/work/156525,(2005),by Lee Child,1,(3.96),21,3
/work/8931199,(2010),by Seth Grahame-Smith,1,(3.56),29,1
/work/82902,(1912),by Edgar Rice Burroughs,1,(3.58),15,4
/work/183845,(1874),by Jules Verne,1,(3.92),10,6
/work/63662,(1983),by Susan Hill,0,(3.7),14,7
/work/5197633,(2001),by Yann Martel,0,(3.91),7,29
/work/5679254,,by Matt Bondurant,0,(3.47),4,1
/work/2340,(1877),"by Leo Tolstoy, George Gibian (Editor)",0,(4.15),39,32
/work/179668,,by Shirley Conran,0,(3.59),1,1
/work/13545750,,by Andrew Dominik,0,(2.1),1,1
/work/8789607,,by Jeff Kinney,1,(4.06),6,3
/work/5304078,(2008),by Nicholas Sparks,0,(3.86),8,1
/work/3207,(1957),by Jack Kerouac,0,(3.64),9,33
/work/971270,(2003),by Don DeLillo,0,(3.09),3,1
/work/41406,,by Pete Dexter,0,(3.76),6,3
/work/9759186,(1994),by Janet Evanovich,1,(3.88),4,6
/work/993429,(2006),by James Patterson,1,(3.64),5,1
/work/348044,(2005),by Angela Henry,1,(3.25),1,1
/work/19973,(1897),by Henry James,0,(3.38),2,2
/work/5529001,(2001),by Maya Ajmera,0,,1,1
/work/15079585,,by Mandoki,0,,1,1
/work/13186031,,by Stefano Sollima,0,(3),1,1
/work/1536,(1867),by Émile Zola,0,(3.77),8,6
/work/32388,(1782),by Pierre Choderlos de Laclos,0,(4.11),5,9
/work/4121,(2003),by Donald Miller,0,(3.91),1,1
/work/359702,(1836),by James Fenimore Cooper,0,(3.33),1,1
/work/3577382,,by J. K. Rowling,1,(4.42),67,29
/work/1541442,(2005),by Stieg Larsson,1,(4.02),15,19
/work/8891693,(2009),by Daniel H. Pink,0,(3.85),1,1
/work/21617,(2004),by Emily Giffin,1,(3.71),8,1
/work/8019757,(2009),by Kathryn Stockett,0,(4.36),15,23
/work/25501,,by Michael Connelly,1,(3.91),5,8
/work/11833808,(2011),by Rob Marshall (Director),1,(3.45),8,1
/work/9835425,,by Pittacus Lore,1,(3.58),9,7
/work/8282,(2003),by Lionel Shriver,0,(4.09),4,6
/work/1729243,(2007),"by Brian Selznick, Brian Selznick (Illustrator)",0,(4.3),9,36
/work/11623548,,by Neil Burger (Director),0,(3.5),1,1
/work/12336112,,by Bill Condon,1,(3.69),1,1
/work/8101931,(2009),by David Nicholls,0,(3.71),21,9
/work/17018398,,by Mark Mylod (Director),0,(2.5),2,1
/work/12053405,(2011),"by Guy Ritchie (Director), Kieran Mulroney (Screenwriter), Michele Mulroney (Screenwriter)",1,(3.44),2,1
/work/2499168,(2007),by Kaui Hart Hemmings,0,(3.86),1,2
/work/3745066,(1844),by Alexandre Dumas Père,1,(4.07),10,21
/work/501367,,"by L. Sprague de Camp, Lin Carter",1,(3.38),13,1
/work/8278,(2004),by Deborah Moggach,0,(3.4),16,1
/work/1391861,(2003),by Didier van Cauwelaert,0,(3.03),1,1
/work/4195814,,"by Antonia Bird (Director), Jimmy McGovern (Writer)",0,(3.75),1,1
/work/696577,(1982),by Michael Morpurgo,1,(4.02),6,6
/work/5145202,(2008),by Jeff Kinney,1,(4.06),4,4
/work/522063,(2006),by Sara Gruen,0,(4.07),12,10
/work/17039937,,by Thomas Bezucha (Director),0,(5),1,1
/work/5123,(2005),by Jonathan Safran Foer,0,(4.08),2,13
/work/5141188,(2007),by Alex Flinn,1,(3.71),4,9
/work/3313427,(1998),by Hunter S. Thompson,0,(3.73),6,1
/work/450587,,by Sir Ranulph Fiennes,0,(3.8),1,1
/work/10028,(1954),by Rosemary Sutcliff,1,(4.03),12,3
/work/33809,(1938),"by Richard Atwater, Florence Atwater",0,(3.87),4,5
/work/16647950,,"by Paul Johansson (Director), Ayn Rand (Author)",1,(3),1,1
/work/18132799,,"by Lee Tamahori (Director), Michael Thomas (Writer)",0,,1,1
/work/45618,(2003),by Tad Williams,0,(3.82),1,1
/work/9973,(2001),by Louis De Bernières,0,(3.67),3,1
/work/17840089,,by Giddens KO,0,,1,1
/work/20106,(2005),by Lisa See,0,(4.01),9,7
/work/3093980,,by Stephen Colbert,0,(3.76),1,4
/work/6215601,,by Larry Beinhart,0,(3.75),1,1
/work/23647,,by Viktor Pelevin,0,(3.65),1,3
/work/13697,(2003),by Dennis Lehane,0,(3.9),7,6
/work/11002467,(2010),"by David Fincher (Director), Ben Mezrich (Author), Aaron Sorkin (Screenwriter)",0,(3.44),1,1
/work/10787782,(2010),"by Ben Affleck (Director), Peter Craig (Screenwriter)",0,(3.17),1,1
/work/8288,(1865),by Lewis Carroll,1,(3.99),32,45
/work/3742863,(1968),by Charles Portis,0,(4.14),7,4
/work/662641,(2004),by John Ajvide Lindqvist,0,(4),17,11
/work/173670,(2006),by Rick Riordan,1,(4.08),51,51
/work/1642,(2003),by Cressida Cowell,1,(3.85),14,2
/work/8461488,(2007),by Stephenie Meyer,1,(3.82),32,7
/work/14038411,,by Jeff Kinney,1,(3.98),8,26
/work/1182720,(1952),by C. S. Lewis,1,(4.03),20,3
/work/7244,(2005),by Kazuo Ishiguro,0,(3.81),9,21
/work/3032091,,by Wendelin Van Draanen,0,(3.86),2,21
/work/654973,(2006),by Elizabeth Gilbert,0,(3.54),16,4
/work/325488,(2006),by Daniel Woodrell,0,(3.99),4,5
/work/337509,(2006),by Ned Vizzini,0,(3.96),17,5
/work/28852,(1877),by Henry James,0,(3.69),6,1
/work/1556319,(2006),by Nicholas Sparks,0,(3.73),7,2
/work/7251,(1979),by Philip Roth,1,(3.67),3,7
/work/34289,(1952),by Mary Norton,1,(3.89),3,7
/work/2236378,(1955),by Beverly Cleary,1,(3.93),4,1
/work/8221836,,by Nicholas Sparks,0,(3.99),2,3
