Link,Title_x,Release_Date,ViewRating_x,Runtime_x,Genres_x,Description_x,Title_y,ViewRating_y,Genres_y,Budget,DomesticGross,WorldwideGross,Description_y,Keywords,Runtime_y
/title/tt0118884/,Contact,(1997),PG,150 min,"Drama, Mystery, Sci-Fi","Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.",,,,,,,,,
/title/tt0119567/,The Lost World: Jurassic Park,(1997),PG-13,129 min,"Action, Adventure, Sci-Fi","A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.",,,,,,,,,
/title/tt0156887/,Perfect Blue,(1997),R,81 min,"Animation, Crime, Mystery","A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",,,,,,,,,
/title/tt0119978/,The Rainmaker,(1997),PG-13,135 min,"Crime, Drama, Thriller",An underdog lawyer takes on a fraudulent insurance company.,,,,,,,,,
/title/tt0119468/,Kiss the Girls,(1997),R,115 min,"Crime, Drama, Mystery",Police hunting for a serial kidnapper are helped when a victim manages to escape for the first time.,,,,,,,,,
/title/tt0120004/,The Relic,(1997),R,110 min,"Horror, Mystery, Sci-Fi","A homicide detective and an anthropologist try to destroy a South American lizard-like god, who's on a people eating rampage in a Chicago museum.",,,,,,,,,
/title/tt0119925/,The Postman,(1997),R,177 min,"Action, Adventure, Drama",A nameless drifter dons a postman's uniform and bag of mail as he begins a quest to inspire hope to the survivors living in post-apocalyptic America.,,,,,,,,,
/title/tt0119395/,The Jackal,(1997),R,124 min,"Action, Crime, Drama","An imprisoned I.R.A. fighter is freed to help stop a brutal, seemingly ""faceless"" assassin from completing his next job.",,,,,,,,,
/title/tt0120053/,The Saint,(1997),PG-13,116 min,"Action, Adventure, Romance","Simon Templar (The Saint), is a thief for hire, whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its secret.",,,,,,,,,
/title/tt0123948/,Cure,(1997),Not Rated,111 min,"Crime, Horror, Mystery",A frustrated detective deals with the case of several gruesome murders committed by people who have no recollection of what they've done.,,,,,,,,,
/title/tt0119951/,Private Parts,(1997),R,109 min,"Biography, Comedy, Drama","The autobiographical story of Howard Stern, the radio rebel who is now also a TV personality, an author and a movie star.",,,,,,,,,
/title/tt0119349/,The Ice Storm,(1997),R,112 min,Drama,"In suburban New Canaan, Connecticut, 1973, middle-class families experimenting with casual sex and substance abuse find their lives beyond their control.",,,,,,,,,
/title/tt0118548/,Absolute Power,(1997),R,121 min,"Action, Crime, Drama",,,,,,,,,,
/title/tt0118819/,Live Flesh,(1997),R,103 min,Drama,"After leaving jail, Víctor is still in love with Elena, but she's married to the former cop -now basketball player- who became paralysed by a shot from Víctor's gun...",,,,,,,,,
/title/tt0118755/,The Borrowers,(1997),PG,89 min,"Adventure, Comedy, Family",A secret family of four-inch people living inside the walls of a house must save their home from an evil real estate developer.,,,,,,,,,
/title/tt0120483/,The Man Who Knew Too Little,(1997),PG,94 min,"Comedy, Crime, Drama",Wallace Ritchie is mistaken for a spy and must stop a plot to assassinate international leaders at a banquet.,,,,,,,,,
/title/tt0118564/,Affliction,(1997),R,114 min,"Drama, Mystery, Thriller",A deeply troubled small-town cop investigates a suspicious hunting death while other events jeopardize his sanity.,,,,,,,,,
/title/tt0120255/,The Sweet Hereafter,(1997),R,112 min,Drama,"A bus crash in a small town brings a lawyer to the town to defend the families, but he discovers that everything is not what it seems.",,,,,,,,,
/title/tt0120520/,The Wings of the Dove,(1997),R,102 min,"Drama, Romance","An impoverished woman who has been forced to choose between a privileged life with her wealthy aunt and her journalist lover, befriends an American heiress. When she discovers the heiress is attracted to her own lover and is dying, she sees a chance to have both the privileged life she cannot give up and the lover she cannot live without.",,,,,,,,,
