Link,Title,Release_Date,ViewRating,Runtime,Genres,Description
/title/tt2235372/,Son of the South,(2020),PG-13,105 min,"Biography, Drama","The true story of one young white Southerner in the Summer of 1961, caught in a place and time where he had to choose which side he was on."
/title/tt2702920/,The Secret Garden,(2020),PG,99 min,"Drama, Family, Fantasy",An orphaned girl discovers a magical garden hidden at her strict uncle's estate.
/title/tt11316854/,Gabriel's Inferno: Part One,(2020),Not Rated,124 min,Romance,"An intriguing exploration of seduction, forbidden love, and redemption, a captivating and passionate tale of one man's escape from his own personal hell as he tries to earn the impossible: forgiveness and love."
/title/tt7456312/,The Last Thing He Wanted,(2020),R,115 min,"Crime, Drama, Thriller",A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake novel.
/title/tt8846176/,Concrete Cowboy,(2020),R,111 min,Drama,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys."
/title/tt8750570/,Sergio,(2020),R,118 min,"Biography, Drama, History",
/title/tt9784456/,The Kissing Booth 2,(2020),TV-14,134 min,"Comedy, Romance","In the sequel to 2018's THE KISSING BOOTH, high school senior Elle juggles a long-distance relationship with her dreamy boyfriend Noah, college applications, and a new friendship with a handsome classmate that could change everything."
/title/tt10457128/,Summer of 85,(2020),Not Rated,101 min,"Drama, Romance","French teenager Alexis's boat capsizes, and he is rescued by David, who ends up as his boyfriend."
/title/tt10151054/,The Quarry,(2020),R,98 min,"Crime, Mystery, Thriller","A drifter (Shea Whigham) kills a traveling preacher and takes his place at a small-town church, but the police chief (Michael Shannon) suspects foul play."
/title/tt7080422/,Dragon Rider,(2020),TV-Y7,91 min,"Animation, Adventure, Comedy",A young silver dragon teams up with a mountain spirit and an orphaned boy on a journey through the Himalayas in search for the Rim of Heaven.
/title/tt8484160/,Black Beauty,(2020),TV-PG,110 min,"Drama, Family",A wild horse and a teenage girl forge an unbreakable bond which keeps them connected for a lifetime.
/title/tt4858674/,Stargirl,(2020),PG,107 min,"Comedy, Drama, Fantasy","An unassuming high schooler finds himself inexplicably drawn to the free-spirited new girl, whose unconventional ways change how they see themselves - and each other."
/title/tt9010738/,Miss Fisher & the Crypt of Tears,(2020),TV-14,101 min,"Adventure, Drama, Mystery","After freeing a young girl from her unjust imprisonment in Jerusalem, Phryne Fisher begins to unravel a mystery concerning priceless emeralds, ancient curses and the truth behind the suspicious disappearance of Shirin's forgotten tribe."
/title/tt8488518/,Bad Therapy,(2020), ,97 min,"Comedy, Drama, Romance","A couple seeks out Judy Small, a marriage counselor; but the counselor is more than what meets the eye."
/title/tt11385336/,Memories of My Father,(2020), ,136 min,"Drama, History",
/title/tt8015444/,Last and First Men,(2020), ,70 min,"Fantasy, Mystery, Sci-Fi","Two billion years ahead of us, a future race of humans finds itself on the verge of extinction. Almost all that is left in the world are lone and surreal monuments, beaming their message into the wilderness."
/title/tt9747594/,Beasts Clawing at Straws,(2020), ,108 min,"Crime, Drama, Thriller","A struggling restaurant owner, caring for his sick mom, finds a bag of cash in a sauna locker, while a customs officer gets into trouble when his girlfriend runs off with money he borrowed from a loan shark."
/title/tt6470924/,Berlin Alexanderplatz,(2020), ,183 min,Drama,"A man from Guinea-Bissau moves to Germany, where he is befriended by a drug dealer and two women."
/title/tt5917226/,Turncoat,(2020), ,173 min,"Drama, History, War","1944. Walter Proska is a young Wehrmacht soldier who begins to question the purpose of the war, who the real enemy is and whether his real duty should be to his fatherland or his own conscience."
/title/tt13535454/,Gabriel's Inferno: Part Two,(2020),TV-14,106 min,Romance,Professor Emerson learns the truth about Julia but his realization comes too late. Julia is done waiting for him to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?
/title/tt13535456/,Gabriel's Inferno: Part Three,(2020),R,102 min,Romance,"Someone dark returns from Julia's past with bad intentions. Gabriel has secrets he needs to share, but worries that he'll lose everything if he does. Will their relationship weather the test of secrets revealed?"
/title/tt9288726/,Mama Weed,(2020), ,104 min,"Comedy, Crime, Drama",A translator working for the police gets involved in the other side of drug dealing.
/title/tt8997712/,Broil,(2020),TV-14,90 min,"Fantasy, Horror, Thriller",Broil follows a dysfunctional family vying to control the future of their wealth.
/title/tt10914712/,Romance Doll,(2020), ,123 min,"Drama, Romance",
/title/tt12105554/,The Speech,(2020), ,87 min,Comedy,A recently dumped man awaits a reconciliation text message from his ex during a seemingly never-ending family dinner.
/title/tt9310328/,Altered Carbon: Resleeved,(2020),TV-MA,74 min,"Animation, Action, Crime","On the planet Latimer, reawakened Takeshi Kovacs must protect a teenage tattooist named Holly while investigating the death of a yakuza boss alongside Gina, a strangely familiar no-nonsense CTAC agent."
/title/tt9850344/,Night Shift,(2020),PG-13,98 min,"Crime, Drama","Three officers are tasked with escorting an illegal immigrant to Charles de Gaulle airport, where he will be forced onto a plane and sent back to his homeland. But when they find out about the truth, they have to make a difficult choice."
/title/tt5827790/,Unknown Origins,(2020),TV-MA,96 min,"Action, Adventure, Crime","Madrid, 2019. A serial killer is spreading chaos. Anonymous people with no apparent connection are being murdered while imitating the first appearances of the most famous superheroes."
/title/tt9318772/,Fukushima 50,(2020), ,122 min,"Action, Drama",Workers at the Fukushima Daiichi facility in Japan risk their lives and stay at the nuclear power plant to prevent total destruction after the region is devastated by an earthquake an tsunami in 2011.
/title/tt6986698/,The Crickets Dance,(2020), , ,"Crime, Drama, History",Southern attorney Angie Lawrence searches of the rightful owner of a journal recovered from an antebellum home she inherited. The journal is full of mystery and history that just may lead her to the future she has always dreamed of.
/title/tt12443726/,Last Words,(II) (2020), ,126 min,"Drama, Sci-Fi","It is 2085. A young man, one of the few survivors of the human community of old, embarks on a long voyage to find others."
/title/tt9347750/,Final Kill,(2020),Not Rated,80 min,Action,"An aging protection specialist takes on one last job before retirement, protecting a couple who stole eight million dollars from a ruthless crime family."
/title/tt10307922/,Home Front,(2020), ,101 min,"Drama, History, War","In a village where everyone knows everyone, four veterans of the Algerian War are haunted by their past."
/title/tt11060092/,Poly,(2020), ,102 min,Family,"The adventures of Shetland pony Poly, in the South of France."
/title/tt9675786/,Appearances,(2020), ,108 min,"Crime, Drama, Thriller","In this psychological thriller, a ridiculed French woman in Vienna seeks to avenge her honor while concealing her efforts from the bourgeois community of fellow expatriates, where lies and slander reign."
/title/tt9014656/,Narcissus and Goldmund,(2020), ,110 min,Drama,Goldmund is to study in the monastery Mariabronn. His father sent him there. There he meets a religious monk named Narcissus. He has subjected himself to a strict life and lives completely ascetically.
/title/tt11470064/,Mariposa,(2020),TV-14,117 min,"Comedy, Drama, Romance","Iqbal (Angga Yunanda) is like a Mariposa butterfly to Acha (Adhisty Zara). Each time someone approach, he always runs away. Acha is determined to win Iqbal, a man known to be handsome, smart, yet cold."
/title/tt10773114/,One Day We'll Talk About Today,(2020),TV-14,121 min,"Drama, Family","Three siblings live in happy-looking families, but one of them changes and gets warned by his parents, prompting the rebellion of the three siblings which led to the discovery of the secrets and great trauma in their families."
/title/tt7951008/,The Time of Indifference,(2020), ,81 min,Drama,based on the novel by Alberto Moravia.
/title/tt9665968/,Small Country: An African Childhood,(2020), ,111 min,Drama,A touching childhood set during the conflict in Rwanda between ethnicities Hutu and Tutsi - adapted from the book of Gaël Faye.
/title/tt7749142/,Die Känguru-Chroniken,(2020), ,92 min,Comedy,Comedy based on the radio comedy and the bestselling books and audio-books by Marc-Uwe Kling.
/title/tt11840954/,My Blood & Bones in a Flowing Galaxy,(2020), ,127 min,Drama,
/title/tt11127878/,Milea,(2020),TV-14,102 min,"Drama, Romance",Milea made the decision to part with Dilan as a warning for Dilan to stay away from the motorcycle gang. But the parting which had been only a bluff for Milea became a parting that lasted until they graduated from college and grew up.
/title/tt10384944/,Lassie Come Home,(2020), ,96 min,"Adventure, Drama, Family","Remake of the 1943 movie based on Eric Knight's book ""Lassie Come Home""."
/title/tt10650424/,Theater,(2020), ,136 min,"Drama, Romance","Nagata is the director of a theater troupe. Unfortunately, he is rather unsuccessful on his finances which makes the crew has little confidence in him."
/title/tt10727214/,Pirates Down the Street,(2020), ,94 min,Family,"When pirate family Blunderbuss moves to boring Sandsborough, the neighbors aren't too happy. Michael and his new pirate friend Billy try to get the family to blend in, but then archenemy Crooked Cornelius arrives in town."
